sample,measured_angle,simple_narx_simulation,advanced_lstm_simulation
182,-0.4618141200776996,-0.34407517313957214,-0.4778730571269989
183,-0.5215043804959058,-0.4109383225440979,-0.5395747423171997
184,-0.5215043804959058,-0.42986860871315,-0.5396815538406372
185,-0.4649557127312894,-0.4039968252182007,-0.4828536808490753
186,-0.3581415625092364,-0.33945488929748535,-0.3775796592235565
187,-0.21991148575128552,-0.24452698230743408,-0.2357916235923767
188,-0.05969026041820607,-0.128752201795578,-0.07162144035100937
189,0.10995574287564276,-0.002167295664548874,0.09937840700149536
190,0.26389378290154264,0.12513691186904907,0.2611544132232666
191,0.39584067435231396,0.24337172508239746,0.398763507604599
192,0.4932300466135975,0.34358301758766174,0.5004380941390991
193,0.5434955290710342,0.4182113707065582,0.556367039680481
194,0.546637121724624,0.46138209104537964,0.5625861883163452
195,0.5057964172279567,0.46890702843666077,0.5206671953201294
196,0.4178318229274425,0.43823710083961487,0.43231895565986633
197,0.289026524130261,0.368610143661499,0.3012538254261017
198,0.1288052987971815,0.261468768119812,0.13509923219680786
199,-0.05969026041820607,0.12108371406793594,-0.055003173649311066
200,-0.25446900494077324,-0.044814497232437134,-0.25522589683532715
201,-0.4429645641561608,-0.22476476430892944,-0.44941574335098267
202,-0.6126105674500096,-0.40414097905158997,-0.6218173503875732
203,-0.7476990515543708,-0.5668373107910156,-0.762373685836792
204,-0.8419468311620646,-0.6977511644363403,-0.8598871231079102
205,-0.8827875356587318,-0.7850519418716431,-0.9030547142028809
206,-0.8670795723907829,-0.8212412595748901,-0.8904564380645752
207,-0.7948229413582177,-0.8029299974441528,-0.8196605443954468
208,-0.669159235214626,-0.7301536798477173,-0.6912128925323486
209,-0.4932300466135975,-0.6060329675674438,-0.5101327896118164
210,-0.273318560862312,-0.43697085976600647,-0.28652143478393555
211,-0.031415926535897934,-0.23312729597091675,-0.03622741997241974
212,0.21676989309769573,-0.008708346635103226,0.21991683542728424
213,0.4429645641561608,0.21857605874538422,0.45903635025024414
214,0.6408849013323178,0.4294399321079254,0.6606220006942749
215,0.7853981633974483,0.6061193943023682,0.8103625774383545
216,0.8639379797371931,0.7353616952896118,0.8959699869155884
217,0.8796459430051421,0.809851884841919,0.9140198230743408
218,0.8325220532012952,0.8278261423110962,0.8685098886489868
219,0.7257079029792423,0.7919057607650757,0.7645978927612305
220,0.578053048260522,0.7082209587097168,0.6115542650222778
221,0.39584067435231396,0.5859357118606567,0.4233959913253784
222,0.19792033717615698,0.43664446473121643,0.21780267357826233
223,0.0031415926535897933,0.27333176136016846,0.01412888988852501
224,-0.16964600329384882,0.10910771042108536,-0.1690344661474228
225,-0.3047344873982099,-0.04394928365945816,-0.31665486097335815
226,-0.39584067435231396,-0.17572784423828125,-0.417024701833725
227,-0.4366813788489812,-0.27878710627555847,-0.46372121572494507
228,-0.4272566008882119,-0.34871572256088257,-0.46052494645118713
229,-0.37699111843077515,-0.3840464651584625,-0.4127954840660095
230,-0.29216811678385074,-0.38580405712127686,-0.3278900682926178
231,-0.18535396656179778,-0.35685601830482483,-0.21547816693782806
232,-0.06597344572538566,-0.30120426416397095,-0.08631233125925064
233,0.06283185307179587,-0.22335964441299438,0.04863714426755905
234,0.1790707812546182,-0.12796349823474884,0.17874719202518463
235,0.28588493147667116,-0.019714374095201492,0.2944415211677551
236,0.37070793312359557,0.0965321883559227,0.38912105560302734
237,0.43353978619539146,0.21566717326641083,0.4588342308998108
238,0.47123889803846897,0.3322863280773163,0.501304030418396
239,0.48066367599923837,0.4406925439834595,0.517733633518219
240,0.47438049069205873,0.5349966287612915,0.512218713760376
241,0.4523893421169302,0.6093746423721313,0.48852914571762085
242,0.4178318229274425,0.6584320068359375,0.448694109916687
243,0.3675663404700058,0.677548885345459,0.3937889337539673
244,0.3078760800517997,0.6631327867507935,0.32458338141441345
245,0.2324778563656447,0.6127980947494507,0.24187125265598297
246,0.14765485471872028,0.5255413055419922,0.14723961055278778
247,0.053407075111026485,0.4020092189311981,0.04340316355228424
248,-0.047123889803846894,0.24496182799339294,-0.06630877405405045
249,-0.14765485471872028,0.05998055636882782,-0.17793385684490204
250,-0.25132741228718347,-0.1437610238790512,-0.2868567109107971
251,-0.34871678454846705,-0.3532155156135559,-0.3882446587085724
252,-0.43982297150257105,-0.5524355173110962,-0.4775153696537018
253,-0.515221195188726,-0.7250980138778687,-0.5502243041992188
254,-0.5717698629533423,-0.8576450347900391,-0.6015200614929199
255,-0.6063273821428301,-0.9412906169891357,-0.6281862258911133
256,-0.6157521601035995,-0.9720096588134766,-0.6306858062744141
257,-0.6000441968356505,-0.9493422508239746,-0.6091103553771973
258,-0.5592034923389833,-0.8753587007522583,-0.5620042085647583
259,-0.4932300466135975,-0.7542130947113037,-0.4888218343257904
260,-0.40212385965949354,-0.5918943881988525,-0.3905423879623413
261,-0.28588493147667116,-0.39602574706077576,-0.26956647634506226
262,-0.14765485471872028,-0.17594312131404877,-0.12988778948783875
263,0.0,0.05700768530368805,0.022783823311328888
264,0.15707963267948966,0.28940972685813904,0.1809806525707245
265,0.31101767270538955,0.5064427256584167,0.33566465973854065
266,0.4523893421169302,0.6935137510299683,0.4771818220615387
267,0.578053048260522,0.8384644985198975,0.5969551801681519
268,0.6723008278682158,0.9332786798477173,0.6875355243682861
269,0.7351326809400116,0.9743790626525879,0.7409300804138184
270,0.7571238295151402,0.9617682695388794,0.753912091255188
271,0.7382742735936014,0.8980468511581421,0.7283774614334106
272,0.6785840131753953,0.7879407405853271,0.6651244163513184
273,0.5843362335677015,0.6382124423980713,0.5659940242767334
274,0.4618141200776996,0.457687109708786,0.4362279176712036
275,0.3047344873982099,0.257296621799469,0.284351646900177
276,0.13823007675795088,0.04997237026691437,0.12164260447025299
277,-0.02199114857512855,-0.15000443160533905,-0.03852822631597519
278,-0.17278759594743864,-0.32846057415008545,-0.1828182488679886
279,-0.29216811678385074,-0.4732826054096222,-0.3010508120059967
280,-0.37699111843077515,-0.5760700702667236,-0.3848494291305542
281,-0.42411500823462206,-0.6328599452972412,-0.4280250668525696
282,-0.43353978619539146,-0.6439265012741089,-0.4335039556026459
283,-0.41154863762026295,-0.613135576248169,-0.4076215922832489
284,-0.36442474781641604,-0.547248363494873,-0.3571452796459198
285,-0.30159289474462014,-0.45519742369651794,-0.2907809317111969
286,-0.2324778563656447,-0.3471674919128418,-0.21826642751693726
287,-0.16650441064025903,-0.23344403505325317,-0.14896705746650696
288,-0.10681415022205297,-0.12317755818367004,-0.0907910019159317
289,-0.05969026041820607,-0.023296888917684555,-0.04888056963682175
290,-0.031415926535897934,0.06219734996557236,-0.023801758885383606
291,-0.015707963267948967,0.13240960240364075,-0.011411800980567932
292,-0.006283185307179587,0.18922337889671326,-0.004974063485860825
293,0.0031415926535897933,0.2366112619638443,0.0030563026666641235
294,0.01884955592153876,0.27967125177383423,0.019988536834716797
295,0.05026548245743669,0.32343488931655884,0.05247384309768677
296,0.10053096491487339,0.3715556561946869,0.10511614382266998
297,0.16964600329384882,0.42509952187538147,0.17850880324840546
298,0.25446900494077324,0.48174384236335754,0.2685060501098633
299,0.34871678454846705,0.5357060432434082,0.36598122119903564
300,0.43353978619539146,0.5785744190216064,0.45867207646369934
301,0.5057964172279567,0.6008652448654175,0.5331047773361206
302,0.5434955290710342,0.5937458276748657,0.573776125907898
303,0.5403539364174444,0.5503963232040405,0.5710227489471436
304,0.4932300466135975,0.46691277623176575,0.5221012830734253
305,0.3989822670059037,0.343037873506546,0.4254488945007324
306,0.26389378290154264,0.1830364465713501,0.2843630313873291
307,0.09424777960769379,-0.003268446773290634,0.10926942527294159
308,-0.09110618695410401,-0.1999487727880478,-0.08288348466157913
309,-0.2670353755551324,-0.386258065700531,-0.270597904920578
310,-0.4272566008882119,-0.5405312776565552,-0.4323809742927551
311,-0.5403539364174444,-0.6450909376144409,-0.5489914417266846
312,-0.5906194188748811,-0.6890641450881958,-0.6029973030090332
313,-0.5811946409141117,-0.6681761741638184,-0.593095064163208
314,-0.5057964172279567,-0.5835460424423218,-0.5184582471847534
315,-0.3738495257771854,-0.44154441356658936,-0.3845004141330719
316,-0.19477874452256716,-0.2548408508300781,-0.20573337376117706
317,-0.0031415926535897933,-0.043247662484645844,-0.0042617060244083405
318,0.1916371518689774,0.16745790839195251,0.19268886744976044
319,0.35499996985564664,0.3497782051563263,0.3587915599346161
320,0.4618141200776996,0.48036620020866394,0.4690368175506592
321,0.4995132319207771,0.543991208076477,0.5039724111557007
322,0.4586725274241098,0.5338383913040161,0.4614713788032532
323,0.34871678454846705,0.45014655590057373,0.3473489582538605
324,0.1790707812546182,0.30016133189201355,0.173564612865448
325,-0.031415926535897934,0.09978905320167542,-0.04058246314525604
326,-0.26389378290154264,-0.12581798434257507,-0.2696029245853424
327,-0.47438049069205873,-0.3457449674606323,-0.4840677082538605
328,-0.6471680866394973,-0.5302692651748657,-0.6571197509765625
329,-0.7571238295151402,-0.6571176052093506,-0.7641304731369019
330,-0.7853981633974483,-0.7134182453155518,-0.7942655086517334
331,-0.7351326809400116,-0.6939541101455688,-0.7419346570968628
332,-0.6000441968356505,-0.5990668535232544,-0.6054552793502808
333,-0.39269908169872414,-0.4345192313194275,-0.39430466294288635
334,-0.1350884841043611,-0.21341541409492493,-0.12763194739818573
335,0.15707963267948966,0.042051710188388824,0.16773615777492523
336,0.4429645641561608,0.3026321828365326,0.46121659874916077
337,0.6942919764433443,0.5383481979370117,0.7218687534332275
338,0.8953539062730911,0.7251670360565186,0.9250229597091675
339,1.0273007977238624,0.848212718963623,1.0546756982803345
340,1.0712830948741194,0.9011764526367188,1.1027264595031738
341,1.0430087609918115,0.8842225074768066,1.0702673196792603
342,0.9361946107697584,0.8025063276290894,0.9614832401275635
343,0.7665486074759096,0.665886640548706,0.785664439201355
344,0.5403539364174444,0.48895055055618286,0.5579198598861694
345,0.29216811678385074,0.28986185789108276,0.2991396486759186
346,0.031415926535897934,0.08770687878131866,0.0340038426220417
347,-0.21048670779051615,-0.10021042823791504,-0.21278759837150574
348,-0.41154863762026295,-0.2597780227661133,-0.4203951060771942
349,-0.5529203070318035,-0.3805200755596161,-0.5731110572814941
350,-0.6346017160251383,-0.4559604525566101,-0.6588062047958374
351,-0.6471680866394973,-0.483840674161911,-0.6782433986663818
352,-0.6000441968356505,-0.46570104360580444,-0.634451150894165
353,-0.5026548245743669,-0.4059484004974365,-0.5332034826278687
354,-0.3581415625092364,-0.31087833642959595,-0.38381513953208923
355,-0.18221237390820802,-0.18793880939483643,-0.19815461337566376
356,0.01884955592153876,-0.045399658381938934,0.009526442736387253
357,0.21991148575128552,0.10758090019226074,0.22282953560352325
358,0.40840704496667307,0.26086628437042236,0.4238947927951813
359,0.578053048260522,0.4036806523799896,0.5964914560317993
360,0.7037167544041136,0.5253481864929199,0.7297180891036987
361,0.7822565707438585,0.6160564422607422,0.8111928701400757
362,0.8042477193189871,0.6673356294631958,0.832317590713501
363,0.7665486074759096,0.6721991300582886,0.7926381826400757
364,0.6660176425610361,0.6251909732818604,0.6897504329681396
365,0.5026548245743669,0.5227508544921875,0.5227212905883789
366,0.28588493147667116,0.364233136177063,0.2963845729827881
367,0.015707963267948967,0.15368695557117462,0.02313445881009102
368,-0.2796017461694916,-0.09788098931312561,-0.279536634683609
369,-0.5811946409141117,-0.3708112835884094,-0.5918769836425781
370,-0.8670795723907829,-0.6377882957458496,-0.8901156187057495
371,-1.140398133253095,-0.8692607879638672,-1.1526023149490356
372,-1.3603096190043804,-1.0412284135818481,-1.3727673292160034
373,-1.5299556222982291,-1.1397416591644287,-1.5441508293151855
374,-1.6367697725202823,-1.1594727039337158,-1.6545971632003784
375,-1.6776104770169495,-1.1001231670379639,-1.6989798545837402
376,-1.6461945504810518,-0.964982271194458,-1.668687105178833
377,-1.5362388076054088,-0.7608445882797241,-1.5563514232635498
378,-1.3320352851220723,-0.49765583872795105,-1.3571449518203735
379,-1.0430087609918115,-0.18964050710201263,-1.0707056522369385
380,-0.6660176425610361,0.14214888215065002,-0.7029626369476318
381,-0.2324778563656447,0.4691886007785797,-0.2688418924808502
382,0.2324778563656447,0.7598129510879517,0.20080392062664032
383,0.7005751617505239,0.9875484704971313,0.661497950553894
384,1.1152653920243765,1.1374436616897583,1.0865601301193237
385,1.4702653618800232,1.2058039903640747,1.4464606046676636
386,1.746725515395925,1.1957663297653198,1.7261693477630615
387,1.9572122231864413,1.1143029928207397,1.933333396911621
388,2.092300707290802,0.9719510078430176,2.0640079975128174
389,2.1645573383233674,0.7823656797409058,2.120619773864746
390,2.1802653015913167,0.5610495805740356,2.114943027496338
391,2.1362830044410592,0.32477110624313354,2.0559332370758057
392,2.035752039526186,0.09116460382938385,1.946182131767273
393,1.8661060362323372,-0.12282979488372803,1.7817034721374512
394,1.6273449945595129,-0.30313345789909363,1.5539650917053223
395,1.3226105071613028,-0.43968436121940613,1.255802869796753
396,0.9581857593448869,-0.5263612270355225,0.8917337656021118
397,0.5403539364174444,-0.5605630874633789,0.4817900061607361
398,0.10053096491487339,-0.5428551435470581,0.05300229415297508
399,-0.3141592653589793,-0.4765046536922455,-0.36001715064048767
400,-0.6785840131753953,-0.36691054701805115,-0.7154374122619629
401,-0.9613273519984767,-0.22133073210716248,-0.9879199266433716
402,-1.152964503867454,-0.04910840839147568,-1.166229248046875
403,-1.2409290981679684,0.13800911605358124,-1.2471821308135986
404,-1.228362727553609,0.326081782579422,-1.2294929027557373
405,-1.121548577331556,0.4998685121536255,-1.1161179542541504
406,-0.9361946107697584,0.6441949605941772,-0.916797399520874
407,-0.6817256058289851,0.7455593347549438,-0.6484379768371582
408,-0.3738495257771854,0.7934515476226807,-0.3350656032562256
409,-0.05654866776461628,0.7807842493057251,-0.008402187377214432
410,0.24190263432641407,0.7036104202270508,0.2929193079471588
411,0.48694686130641796,0.5611298084259033,0.5363249778747559
412,0.6534512719466771,0.3568166196346283,0.6963218450546265
413,0.7257079029792423,0.10066144913434982,0.7576507329940796
414,0.7037167544041136,-0.1884722262620926,0.7215985059738159
415,0.5874778262212914,-0.4825538098812103,0.5959608554840088
416,0.39584067435231396,-0.7486832141876221,0.39476075768470764
417,0.15393804002589986,-0.957584023475647,0.1404189169406891
418,-0.11938052083641214,-1.0907984972000122,-0.13812905550003052
419,-0.38641589639154456,-1.1411716938018799,-0.4093039929866791
420,-0.6157521601035995,-1.1084424257278442,-0.6425302028656006
421,-0.7853981633974483,-0.9960651397705078,-0.8164567947387695
422,-0.8859291283123216,-0.8112125396728516,-0.9147034883499146
423,-0.9016370915802706,-0.5656238794326782,-0.9351967573165894
424,-0.8450884238156543,-0.2766118049621582,-0.87721848487854
425,-0.7162831250184728,0.03186604753136635,-0.7470235824584961
426,-0.5309291584566751,0.3304023742675781,-0.5575929880142212
427,-0.3078760800517997,0.5893410444259644,-0.3266265094280243
428,-0.06911503837897544,0.7857987880706787,-0.07609843462705612
429,0.16650441064025903,0.9074811935424805,0.16948096454143524
430,0.37699111843077515,0.9514403343200684,0.38751453161239624
431,0.5403539364174444,0.9208786487579346,0.5615246295928955
432,0.6503096792930871,0.8234884738922119,0.6809900999069214
433,0.7068583470577035,0.6716415882110596,0.7406458854675293
434,0.7099999397112933,0.48236989974975586,0.7448850870132446
435,0.6660176425610361,0.2758105397224426,0.7027279138565063
436,0.5906194188748811,0.07265268266201019,0.6238820552825928
437,0.4932300466135975,-0.10829348862171173,0.5197130441665649
438,0.3832743037379548,-0.25198256969451904,0.4026169180870056
439,0.273318560862312,-0.34840768575668335,0.2841859757900238
440,0.1759291886010284,-0.3929715156555176,0.17411358654499054
441,0.09110618695410401,-0.38600197434425354,0.08050011098384857
442,0.031415926535897934,-0.33199259638786316,0.00966017134487629
443,-0.00942477796076938,-0.23891031742095947,-0.035675808787345886
444,-0.025132741228718346,-0.11728411912918091,-0.05598549544811249
445,-0.02199114857512855,0.021091990172863007,-0.055669061839580536
446,-0.00942477796076938,0.16440625488758087,-0.03982524573802948
447,0.015707963267948967,0.3016357421875,-0.0121542289853096
448,0.0439822971502571,0.42312589287757874,0.024181615561246872
449,0.07853981633974483,0.5212335586547852,0.0660417228937149
450,0.11623892818282235,0.5907622575759888,0.11020165681838989
451,0.15079644737231007,0.6288130283355713,0.152548685669899
452,0.1790707812546182,0.6341522932052612,0.18792057037353516
453,0.19792033717615698,0.6064993143081665,0.21144641935825348
454,0.20420352248333654,0.5460319519042969,0.21944192051887512
455,0.1916371518689774,0.4532644748687744,0.20998229086399078
456,0.16336281798666927,0.32940196990966797,0.18150439858436584
457,0.11309733552923255,0.17712225019931793,0.13137950003147125
458,0.0439822971502571,0.0014980360865592957,0.05785956233739853
